run,label,direction,kind,bytes,mode,workers,trial,persistence,request_bytes,split_min_bytes,elapsed_seconds,status,verified,control_ready_seconds,planning_complete_seconds,workers_complete_seconds,worker_startup_min_seconds,worker_startup_max_seconds,range_requests,streaming_ranges,streamed_blocks,stream_discarded_bytes,stream_shrink_requests,small_batches,local_whole_files
streaming-oxtwxfax,push-small-auto-streaming-j1-r3,push,small,8388608,auto-streaming,1,3,off,4194304,33554432,12.278802833054215,ok,True,3.56,6.16,11.85,0.65,0.65,0,0,0,0,0,2,0
streaming-oxtwxfax,push-small-auto-p16-j1-r3,push,small,8388608,auto-p16,1,3,off,4194304,33554432,11.93681729072705,ok,True,3.54,6.02,11.53,0.65,0.65,0,0,0,0,0,2,0
streaming-oxtwxfax,push-small-auto-p4-j8-r3,push,small,8388608,auto-p4,8,3,off,4194304,33554432,11.955595707986504,ok,True,3.53,6.0,11.54,0.66,0.67,0,0,0,0,0,8,0
streaming-oxtwxfax,pull-large-auto-p4-j8-r1,pull,large,16777216,auto-p4,8,1,off,4194304,33554432,11.728969875257462,ok,True,3.39,4.22,11.51,3.36,5.79,4,0,0,0,0,0,0
streaming-oxtwxfax,pull-large-auto-streaming-j8-r1,pull,large,16777216,auto-streaming,8,1,off,4194304,33554432,12.376556541305035,ok,True,3.63,4.46,12.16,3.34,5.78,0,1,4,0,0,0,0
streaming-oxtwxfax,pull-large-auto-p16-j8-r1,pull,large,16777216,auto-p16,8,1,off,4194304,33554432,12.572632000315934,ok,True,3.66,4.43,12.3,3.8,6.1,4,0,0,0,0,0,0
streaming-oxtwxfax,pull-small-auto-p4-j8-r1,pull,small,8388608,auto-p4,8,1,off,4194304,33554432,8.0493502500467,ok,True,3.3,4.53,7.83,0.67,0.68,0,0,0,0,0,8,0
streaming-oxtwxfax,pull-small-auto-streaming-j8-r1,pull,small,8388608,auto-streaming,8,1,off,4194304,33554432,9.85601233318448,ok,True,3.22,4.44,9.64,0.71,0.72,0,0,0,0,0,8,0
streaming-oxtwxfax,pull-small-auto-p16-j8-r1,pull,small,8388608,auto-p16,8,1,off,4194304,33554432,10.279638167005032,ok,True,3.59,4.69,10.07,0.67,0.68,0,0,0,0,0,8,0
streaming-oxtwxfax,pull-large-auto-streaming-j8-r2,pull,large,16777216,auto-streaming,8,2,off,4194304,33554432,12.501411583274603,ok,True,3.42,4.26,12.26,3.86,5.99,0,1,4,0,0,0,0
